Número Procedimiento,Nro SAF,Descripcion SAF,Nro UOC,Descripcion UOC,Tipo de Procedimiento,Modalidad,Apartado Directa,Ejercicio,Fecha de Publicación,Fecha de Apertura,Etapa,Alcance,Nombre del Procedimiento,Objeto del Procedimiento,Monto Estimado,Tipo de Operación
84/143-1550-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/143-JEFATURA DE AGRUPACION DE ARTILLERIA DE CAMPAÑA 601,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 08:00:00 a.m.,13/10/2020 10:00:00 a.m.,Única,Nacional,ADQUISICION DE ARTICULOS DE BAZAR PARA EL 4TO TRIMESTRE 2020,ADQUISICION DE ARTICULOS DE BAZAR PARA EL 4TO TRIMESTRE 2020,128722.0,Proceso de Compra
84/143-1557-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/143-JEFATURA DE AGRUPACION DE ARTILLERIA DE CAMPAÑA 601,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 08:00:00 a.m.,13/10/2020 09:00:00 a.m.,Única,Nacional,ADQUISICION DE ARTICULOS DE ELECTRICIDAD Y COMUNICACION PARA EL 4TO TRIMESTRE 2020,ADQUISICION DE ARTICULOS DE ELECTRICIDAD Y COMUNICACION PARA EL 4TO TRIMESTRE 2020,24070.0,Proceso de Compra
84/143-1558-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/143-JEFATURA DE AGRUPACION DE ARTILLERIA DE CAMPAÑA 601,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 08:00:00 a.m.,13/10/2020 09:30:00 a.m.,Única,Nacional,ADQUISICION DE EQUIPOS PARA AULA DE INSTRUCCION INTERACTIVA PARA EL 4TO TRIMESTRE 2020,ADQUISICION DE EQUIPOS PARA AULA DE INSTRUCCION INTERACTIVA PARA EL 4TO TRIMESTRE 2020,254000.0,Proceso de Compra
84/134-0188-LPU20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/134 - Comando de Adiestramiento y Alistamiento,Licitacion Pública,Sin Modalidad,,2020.0,05/10/2020 09:00:00 a.m.,16/10/2020 08:00:00 a.m.,Única,Nacional,Mantenimiento y Reparación de Edificio para el CAAE y Unidades dependientes por el 4to trim 2020,Mantenimiento y Reparación de Edificio para el CAAE y Unidades dependientes por el 4to trimestre 2020.,1917023.68,Proceso de Compra
84/36-1570-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/36 - Escuela Militar de Montaña,Licitacion Privada,Orden de compra abierta,,2020.0,05/10/2020 11:40:00 a.m.,13/10/2020 08:00:00 a.m.,Única,Nacional,Alquiler de fotocopiadoras para el 4to trimestre 2020.,Alquiler de fotocopiadoras para el 4to trimestre 2020.,336960.0,Proceso de Compra
84/77-1571-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 09:00:00 a.m.,14/10/2020 09:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE EQUIPOS Y HERRAMIETAS PARA SECRETRIA AYUDANTE DEL JEMGE Y LA INSPECTORIA GENERAL DEL,ADQUISICIÓN DE EQUIPOS Y HERRAMIENTAS PARA LA SECRETARÍA AYUDAN-TE DEL JEMGE Y LA INSPECTORÍA GENERAL DEL EJERCITO,283000.0,Proceso de Compra
84/88-1572-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/88 - DIRECCION DE EDUCACION OPERACIONAL,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 03:00:00 p.m.,14/10/2020 08:00:00 a.m.,Única,Nacional,REPARACIÓN INTEGRAL Y MODERNIZACIÓN DEL EDIFICIO LABORATORIO DE CIBERDEFENSA - CENSITEA - 4TO TRIM 2,REPARACIÓN INTEGRAL Y MODERNIZACIÓN DEL EDIFICIO LABORATORIO DE CIBERDEFENSA - CENSITEA - 4TO TRIM 2,1175327.0,Proceso de Compra
84/77-1573-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 09:00:00 a.m.,14/10/2020 09:30:00 a.m.,Única,Nacional,ADQUISICIÓN DE LOCKERS Y BANCOS PARA LA INSPECTORIA GENERAL DEL EJÉRCITO Y DESTRUCTORAS DE PAPEL PAR,ADQUISICIÓN DE LOCKERS Y BANCOS PARA LA INSPECTORIA GENERAL DEL EJÉRCITO Y DESTRUCTORAS DE PAPEL PARA LA DIRECCIÓN GENERAL DE PLANES  PROGRAMAS Y PRESUPUESTO,632254.0,Proceso de Compra
84/19-1575-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/19 - Comando Brigada de Montaña VIII,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 12:00:00 p.m.,14/10/2020 08:00:00 a.m.,Única,Nacional,MANTENIMIENTO Y REPARACION DE MAQUINA TRINCHADORA DE PAN FRANCES (RIM 16) - 4TO TRIMESTRE 2020,MANTENIMIENTO Y REPARACION DE MAQUINA TRINCHADORA DE PAN FRANCES (RIM 16) - 4TO TRIMESTRE 2020,90000.0,Proceso de Compra
98-0030-CDI20,101.0,101 - Fundación Miguel Lillo,98.0,98/00 - Dir. Compras,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2020.0,05/10/2020 03:00:00 p.m.,19/10/2020 11:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE EQUIPAMIENTO DE OFICINA  PLAN DE COMPRAS 2020,ADQUISICIÓN DE EQUIPAMIENTO DE OFICINA  PLAN DE COMPRAS 2020,700948.0,Proceso de Compra
